2023-05-02 02:48:17 startup packages remove
2023-05-02 02:48:17 status installed iputils-ping:amd64 3:20210202-1
2023-05-02 02:48:17 remove iputils-ping:amd64 3:20210202-1 <none>
2023-05-02 02:48:17 status half-configured iputils-ping:amd64 3:20210202-1
2023-05-02 02:48:17 status half-installed iputils-ping:amd64 3:20210202-1
2023-05-02 02:48:17 status triggers-pending man-db:amd64 2.9.4-2
2023-05-02 02:48:17 status config-files iputils-ping:amd64 3:20210202-1
2023-05-02 02:48:17 status not-installed iputils-ping:amd64 <none>
2023-05-02 02:48:17 startup archives unpack
2023-05-02 02:48:17 install bind9-dnsutils:amd64 <none> 1:9.16.37-1~deb11u1
2023-05-02 02:48:17 status half-installed bind9-dnsutils:amd64 1:9.16.37-1~deb11u1
2023-05-02 02:48:17 status unpacked bind9-dnsutils:amd64 1:9.16.37-1~deb11u1
2023-05-02 02:48:18 install dnsutils:all <none> 1:9.16.37-1~deb11u1
2023-05-02 02:48:18 status half-installed dnsutils:all 1:9.16.37-1~deb11u1
2023-05-02 02:48:18 status unpacked dnsutils:all 1:9.16.37-1~deb11u1
2023-05-02 02:48:18 install libnet1:amd64 <none> 1.1.6+dfsg-3.1
2023-05-02 02:48:18 status triggers-pending libc-bin:amd64 2.31-13+deb11u6
2023-05-02 02:48:18 status half-installed libnet1:amd64 1.1.6+dfsg-3.1
2023-05-02 02:48:18 status unpacked libnet1:amd64 1.1.6+dfsg-3.1
2023-05-02 02:48:18 install libnids1.21:amd64 <none> 1.25-1
2023-05-02 02:48:18 status half-installed libnids1.21:amd64 1.25-1
2023-05-02 02:48:18 status unpacked libnids1.21:amd64 1.25-1
2023-05-02 02:48:18 install libxau6:amd64 <none> 1:1.0.9-1
2023-05-02 02:48:18 status half-installed libxau6:amd64 1:1.0.9-1
2023-05-02 02:48:18 status unpacked libxau6:amd64 1:1.0.9-1
2023-05-02 02:48:18 install libxdmcp6:amd64 <none> 1:1.1.2-3
2023-05-02 02:48:18 status half-installed libxdmcp6:amd64 1:1.1.2-3
2023-05-02 02:48:18 status unpacked libxdmcp6:amd64 1:1.1.2-3
2023-05-02 02:48:18 install libxcb1:amd64 <none> 1.14-3
2023-05-02 02:48:18 status half-installed libxcb1:amd64 1.14-3
2023-05-02 02:48:18 status unpacked libxcb1:amd64 1.14-3
2023-05-02 02:48:18 install libx11-data:all <none> 2:1.7.2-1
2023-05-02 02:48:18 status half-installed libx11-data:all 2:1.7.2-1
2023-05-02 02:48:18 status unpacked libx11-data:all 2:1.7.2-1
2023-05-02 02:48:18 install libx11-6:amd64 <none> 2:1.7.2-1
2023-05-02 02:48:18 status half-installed libx11-6:amd64 2:1.7.2-1
2023-05-02 02:48:18 status unpacked libx11-6:amd64 2:1.7.2-1
2023-05-02 02:48:18 install libxext6:amd64 <none> 2:1.3.3-1.1
2023-05-02 02:48:18 status half-installed libxext6:amd64 2:1.3.3-1.1
2023-05-02 02:48:19 status unpacked libxext6:amd64 2:1.3.3-1.1
2023-05-02 02:48:19 install x11-common:all <none> 1:7.7+22
2023-05-02 02:48:19 status half-installed x11-common:all 1:7.7+22
2023-05-02 02:48:19 status unpacked x11-common:all 1:7.7+22
2023-05-02 02:48:19 install libice6:amd64 <none> 2:1.0.10-1
2023-05-02 02:48:19 status half-installed libice6:amd64 2:1.0.10-1
2023-05-02 02:48:19 status unpacked libice6:amd64 2:1.0.10-1
2023-05-02 02:48:19 install libsm6:amd64 <none> 2:1.2.3-1
2023-05-02 02:48:19 status half-installed libsm6:amd64 2:1.2.3-1
2023-05-02 02:48:19 status unpacked libsm6:amd64 2:1.2.3-1
2023-05-02 02:48:19 install libxt6:amd64 <none> 1:1.2.0-1
2023-05-02 02:48:19 status half-installed libxt6:amd64 1:1.2.0-1
2023-05-02 02:48:19 status unpacked libxt6:amd64 1:1.2.0-1
